Original Instance,Chunk File,Cost,Exec Time (s),Status/Notes
Emilia-Romagna,Emilia-Romagna_chunk_239.vrp,ERROR,0,"Crash: Command '['/home/ubuntu/cvrp/baselines/HGS-CVRP/build/hgs', '/home/ubuntu/cvrp/data/instances/hgs_partitions/Emilia-Romagna_partitions/Emilia-Romagna_chunk_239.vrp', '/home/ubuntu/cvrp/data/instances/hgs_partitions/Emilia-Romagna_partitions/Emilia-Romagna_chunk_239.sol', '-t', '180', '-seed', '42']' timed out after 190 seconds"
Emilia-Romagna,Emilia-Romagna_chunk_24.vrp,967886.0,180.3,OK
Emilia-Romagna,Emilia-Romagna_chunk_240.vrp,1391810.0,180.04,OK
Emilia-Romagna,Emilia-Romagna_chunk_241.vrp,10194800.0,180.33,OK
Emilia-Romagna,Emilia-Romagna_chunk_242.vrp,3562440.0,180.67,OK
Emilia-Romagna,Emilia-Romagna_chunk_243.vrp,4612060.0,180.26,OK
Emilia-Romagna,Emilia-Romagna_chunk_244.vrp,5845040.0,180.13,OK
Emilia-Romagna,Emilia-Romagna_chunk_245.vrp,ERROR,0,"Crash: Command '['/home/ubuntu/cvrp/baselines/HGS-CVRP/build/hgs', '/home/ubuntu/cvrp/data/instances/hgs_partitions/Emilia-Romagna_partitions/Emilia-Romagna_chunk_245.vrp', '/home/ubuntu/cvrp/data/instances/hgs_partitions/Emilia-Romagna_partitions/Emilia-Romagna_chunk_245.sol', '-t', '180', '-seed', '42']' timed out after 190 seconds"
Emilia-Romagna,Emilia-Romagna_chunk_246.vrp,ERROR,0,No feasible route found in 60s.
Emilia-Romagna,Emilia-Romagna_chunk_247.vrp,ERROR,0,No feasible route found in 60s.
Emilia-Romagna,Emilia-Romagna_chunk_248.vrp,8434920.0,183.79,OK
Emilia-Romagna,Emilia-Romagna_chunk_249.vrp,4619210.0,180.07,OK
Emilia-Romagna,Emilia-Romagna_chunk_25.vrp,8492230.0,188.09,OK
Emilia-Romagna,Emilia-Romagna_chunk_250.vrp,2710750.0,180.04,OK
Emilia-Romagna,Emilia-Romagna_chunk_251.vrp,3941290.0,181.06,OK
Emilia-Romagna,Emilia-Romagna_chunk_252.vrp,7989260.0,180.23,OK
Emilia-Romagna,Emilia-Romagna_chunk_253.vrp,2876850.0,185.79,OK
Emilia-Romagna,Emilia-Romagna_chunk_254.vrp,2162910.0,180.22,OK
Emilia-Romagna,Emilia-Romagna_chunk_255.vrp,9734860.0,180.33,OK
Emilia-Romagna,Emilia-Romagna_chunk_256.vrp,5106220.0,183.71,OK
Emilia-Romagna,Emilia-Romagna_chunk_257.vrp,2192440.0,180.09,OK
Emilia-Romagna,Emilia-Romagna_chunk_258.vrp,5736230.0,180.13,OK
Emilia-Romagna,Emilia-Romagna_chunk_259.vrp,ERROR,0,No feasible route found in 60s.
Emilia-Romagna,Emilia-Romagna_chunk_26.vrp,ERROR,0,"Crash: Command '['/home/ubuntu/cvrp/baselines/HGS-CVRP/build/hgs', '/home/ubuntu/cvrp/data/instances/hgs_partitions/Emilia-Romagna_partitions/Emilia-Romagna_chunk_26.vrp', '/home/ubuntu/cvrp/data/instances/hgs_partitions/Emilia-Romagna_partitions/Emilia-Romagna_chunk_26.sol', '-t', '180', '-seed', '42']' timed out after 190 seconds"
Emilia-Romagna,Emilia-Romagna_chunk_260_sweep_0.vrp,11580000.0,180.29,OK
Emilia-Romagna,Emilia-Romagna_chunk_260_sweep_1.vrp,11653000.0,180.36,OK
Emilia-Romagna,Emilia-Romagna_chunk_260_sweep_2.vrp,11739600.0,180.25,OK
Emilia-Romagna,Emilia-Romagna_chunk_260_sweep_3.vrp,11814900.0,180.3,OK
Emilia-Romagna,Emilia-Romagna_chunk_261.vrp,7918070.0,180.44,OK
Emilia-Romagna,Emilia-Romagna_chunk_262.vrp,8330860.0,180.49,OK
Emilia-Romagna,Emilia-Romagna_chunk_263.vrp,1855130.0,180.08,OK
Emilia-Romagna,Emilia-Romagna_chunk_264.vrp,ERROR,0,"Crash: Command '['/home/ubuntu/cvrp/baselines/HGS-CVRP/build/hgs', '/home/ubuntu/cvrp/data/instances/hgs_partitions/Emilia-Romagna_partitions/Emilia-Romagna_chunk_264.vrp', '/home/ubuntu/cvrp/data/instances/hgs_partitions/Emilia-Romagna_partitions/Emilia-Romagna_chunk_264.sol', '-t', '180', '-seed', '42']' timed out after 190 seconds"
Emilia-Romagna,Emilia-Romagna_chunk_265.vrp,5241870.0,180.3,OK
Emilia-Romagna,Emilia-Romagna_chunk_266.vrp,ERROR,0,"Crash: Command '['/home/ubuntu/cvrp/baselines/HGS-CVRP/build/hgs', '/home/ubuntu/cvrp/data/instances/hgs_partitions/Emilia-Romagna_partitions/Emilia-Romagna_chunk_266.vrp', '/home/ubuntu/cvrp/data/instances/hgs_partitions/Emilia-Romagna_partitions/Emilia-Romagna_chunk_266.sol', '-t', '180', '-seed', '42']' timed out after 190 seconds"
Emilia-Romagna,Emilia-Romagna_chunk_267.vrp,5352410.0,180.24,OK
Emilia-Romagna,Emilia-Romagna_chunk_268.vrp,4914320.0,180.25,OK
Emilia-Romagna,Emilia-Romagna_chunk_269.vrp,2316090.0,180.06,OK
