Instance Name,Size (N),BKS,HGS Cost,HGS Time (s),HGS Peak Memory (MB),HGS Status,FILO2 Cost,FILO2 Time (s),FILO2 Peak Memory (MB),FILO2 Status
X-n766-k71.vrp,766,114417.0,114754.0,2700.11,16.01,OK,115134.0,46.36,12.6,OK
X-n783-k48.vrp,783,72386.0,72759.0,2700.08,14.63,OK,72683.0,58.25,15.52,OK
X-n801-k40.vrp,801,73311.0,73474.0,2700.08,14.46,OK,73442.0,55.58,16.14,OK
X-n819-k171.vrp,819,158121.0,158567.0,2700.14,24.44,OK,159258.0,55.37,14.26,OK
X-n837-k142.vrp,837,193737.0,194171.0,2700.09,22.91,OK,194863.0,66.73,14.7,OK
X-n856-k95.vrp,856,88965.0,88990.0,2700.12,19.82,OK,89174.0,74.61,21.82,OK
X-n876-k59.vrp,876,99299.0,99689.0,2700.16,17.27,OK,99801.0,54.31,14.46,OK
X-n895-k37.vrp,895,53860.0,54098.0,2700.08,16.05,OK,54208.0,49.46,14.9,OK
X-n916-k207.vrp,916,329179.0,329928.0,2700.12,30.51,OK,331388.0,52.2,13.11,OK
X-n936-k151.vrp,936,132715.0,133599.0,2700.09,26.53,OK,133564.0,41.93,13.97,OK
X-n957-k87.vrp,957,85465.0,85581.0,2700.11,21.55,OK,85581.0,65.5,19.54,OK
X-n979-k58.vrp,979,118976.0,119426.0,2700.14,19.41,OK,119352.0,68.56,15.04,OK
XML1000000_2324_01.vrp,1000001,,OOM,,,OOM,58338031430.0,897.94,6252.71,OK
XML1000000_3163_02.vrp,1000001,,OOM,,,OOM,168100413900.0,908.88,6098.81,OK
